artist,music,track
Gal Costa,"se tem luar no céu
retira o véu e faz chover sobre o nosso amor

chuva de prata que cai sem parar
quase me mata de tanto esperar
um beijo molhado de luz
sela o nosso amor

basta um pouquinho de mel pra adoçar
deixa cair o seu véu sobre nós
oh, lua bonita no céu
molha o nosso amor

toda vez que o amor disser ""vem comigo""
vai sem medo de se arrepender
você deve acreditar no que é lindo
pode ir fundo!
isso é que é viver!

cola seu rosto no meu, vem dançar
pinga seu nome no breu pra ficar
enquanto se esquece de mim
lembra da canção

toda vez que o amor disser ""vem comigo""
vai sem medo de se arrepender
você deve acreditar no que eu digo
pode ir fundo!
isso é que é viver!

chuva de prata que cai sem parar
quase me mata de tanto esperar
um beijo molhado de luz
sela nosso amor
enquanto se esquece de mim
lembra da canção
oh, lua bonita no céu
molha o nosso amor",Chuva de Prata - Ao Vivo
Gilberto Gil,"se eu quiser falar com deus
gilberto gil
1980


se eu quiser falar com deus
tenho que ficar a sós
tenho que apagar a luz
tenho que calar a voz
tenho que encontrar a paz
tenho que folgar os nós
dos sapatos, da gravata
dos desejos, dos receios
tenho que esquecer a data
tenho que perder a conta
tenho que ter mãos vazias
ter a alma e o corpo nus
se eu quiser falar com deus
tenho que aceitar a dor
tenho que comer o pão
que o diabo amassou
tenho que virar um cão
tenho que lamber o chão
dos palácios, dos castelos
suntuosos do meu sonho
tenho que me ver tristonho
tenho que me achar medonho
e apesar de um mal tamanho
alegrar meu coração
se eu quiser falar com deus
tenho que me aventurar
tenho que subir aos céus
sem cordas pra segurar
tenho que dizer adeus
dar as costas, caminhar
decidido, pela estrada
que ao findar vai dar em nada
nada, nada, nada, nada
nada, nada, nada, nada
nada, nada, nada, nada
do que eu pensava encontrar
",Se Eu Quiser Falar Com Deus
Gilberto Gil,"aquele abraço

gilberto gil
1969

o rio de janeiro continua lindo
o rio de janeiro continua sendo
o rio de janeiro, fevereiro e março
alô, alô, realengo - aquele abraço!
alô, torcida do flamengo - aquele abraço!
chacrinha continua balançando a pança
e buzinando a moça e comandando a massa
e continua dando as ordens no terreiro
alô, alô, seu chacrinha - velho guerreiro
alô, alô, terezinha, rio de janeiro
alô, alô, seu chacrinha - velho palhaço
alô, alô, terezinha - aquele abraço!
alô, moça da favela - aquele abraço!
todo mundo da portela - aquele abraço!
todo mês de fevereiro - aquele passo!
alô, banda de ipanema - aquele abraço!
meu caminho pelo mundo eu mesmo traço
a bahia já me deu régua e compasso
quem sabe de mim sou eu - aquele abraço!
pra você que me esqueceu - aquele abraço!
alô, rio de janeiro - aquele abraço!
todo o povo brasileiro - aquele abraço!",Aquele Abraço
Gal Costa,"o que é que há?
o que é que tá se passando com essa cabeça?
o que é que há?
o que é que tá me faltando pra que eu te conheça melhor?
pra que eu te receba sem choque?
pra que eu te perceba no toque das mãos em seu coração?

o que é que há?
por que é que há tanto tempo você não procura meu ombro?
por que será?
por que será que esse fogo não queima o que tem pra queimar?
que a gente não ama o que tem pra se amar?
que o sol tá se pondo e a gente não larga essa angústia do olhar?

telefona
não deixa que eu fuja
me ocupa os espaços vazios
me arranca desta ansiedade
me acolhe, me acalma
em teus braços macios

o que é que há?
o que é que tá se passando com a minha cabeça?
o que é que há?

telefona
não deixa que eu fuja
me ocupa os espaços vazios
me arranca desta ansiedade
me acolhe, me acalma
em teus braços macios

o que é que há?
o que é que há?
o que é que há?",O Que É Que Há
Tribalistas,"vem pra minha aula que hoje a nossa escola
vai desfilar
vem fazer história que hoje é dia de glória
neste lugar
vem comemorar, escandalizar ninguém
vem me namorar vou te namorar também
vamos pra avenida, desfilar a vida, carnavalizar

na portela tem, mocidade, imperatriz
no império tem, uma vila tão feliz
beija flor, vem ver, a porta-bandeira
na mangueira tem morena da tradição

sinto a batucada se aproximar
estou ensaiado para te tocar

repique tocou, o surdo escutou
e o meu corasamborim (tamborim)
cuíca gemeu
será que era eu
quando ela passou por mim
lá lá lá...",Carnavália - Ao Vivo
Chico Buarque,"vou voltar
sei que ainda vou voltar
para o meu lugar
foi lá e é ainda lá
que eu hei de ouvir cantar
uma sabiá

vou voltar
sei que ainda vou voltar
vou deitar à sombra 
de uma palmeira que já não há
colher a flor que já não dá
e algum amor talvez 
possa espantar as noites
que eu não queria
e anunciar o dia

vou voltar
sei que ainda vou voltar
não vai ser em vão
que fiz tantos planos
de me enganar
como fiz enganos
de me encontrar
como fiz estradas 
de me perder
fiz de tudo e nada 
de te esquecer

vou voltar
sei que ainda vou voltar
e é pra ficar
sei que o amor existe
eu não sou mais triste
e que a nova vida
já vai chegar
e que a solidão 
vai se acabar",Sabiá - Ao Vivo
Milton Nascimento,"já falei tantas vezes
do verde dos teus olhos
todos os sentimentos me tocam a alma
alegria ou tristeza
se espalhando no campo, no canto, no gesto
no sonho da vida.

mas agora é o balanço
essa dança nos toma
esse som nos abraça meu amor

o teu corpo moreno
vai abrindo caminhos
acelera meu peito nem acredito
no sonho que vejo.

e seguimos dançando, um balanço malandro
e tudo rodando
pareçe que o mundo foi feito pra nós
nesse som que nos toca.

me abraça me aperta
me prende em suas pernas
me prende, me força, me roda, me encanta
me enfeita num beijo.

por do sol e aurora
norte sul leste oeste
lua nuvens estrelas e a banda toca
parece mágia e é pura beleza
e essa música sente e parece que a gente
se enrola corrente e tão de repente você
tem a mim.",A Festa - Acústico
Lenine,"daqui desse momento
do meu olhar pra fora
o mundo é só miragem
a sombra do futuro
a sobra do passado
assombram a paisagem
quem vai virar o jogo e transformar a perda
em nossa recompensa
quando eu olhar pro lado
eu quero estar cercado só de quem me interessa

às vezes é um instante
a tarde faz silêncio
o vento sopra a meu favor
às vezes eu pressinto e é como uma saudade
de um tempo que ainda não passou
me traz o seu sossego, atrasa o meu relógio
acalma a minha pressa
me dá sua palavra
sussurre em meu ouvido
só o que me interessa

a lógica do vento
o caos do pensamento
a paz na solidão
a órbita do tempo
a pausa do retrato
a voz da intuição
a curva do universo
a fórmula do acaso
o alcance da promessa
o salto do desejo
o agora e o infinito
só o que me interessa",É O Que Me Interessa - Ao Vivo
Lulu Santos,"eu gosto tanto de você
que até prefiro esconder
deixo assim ficar
subentendido

como uma ideia que existe na cabeça
e não tem a menor obrigação de acontecer

eu acho tão bonito isso
de ser abstrato, baby
a beleza é mesmo tão fugaz

é uma ideia que existe na cabeça
e não tem a menor pretensão de acontecer

pode até parecer fraqueza
pois que seja fraqueza então
a alegria que me dá
isso vai sem eu dizer

se amanhã não for nada disso
caberá só a mim esquecer
o que eu ganho, o que eu perco
ninguém precisa saber

eu gosto tanto de você
que até prefiro esconder
deixo assim ficar
subentendido

como uma ideia que existe na cabeça
e não tem a menor pretensão de acontecer

pode até parecer fraqueza
pois que seja fraqueza então
a alegria que me dá
isso vai sem eu dizer

se amanhã não for nada disso
caberá só a mim esquecer
(eu vou sobreviver)
o que eu ganho, o que eu perco
ninguém precisa saber",Apenas Mais uma de Amor
Nando Reis,"como vai você?
eu preciso saber da sua vida
peça a alguém pra me contar sobre o seu dia
anoiteceu e eu preciso só saber

como vai você?
que já modificou a minha vida
razão de minha paz já esquecida
nem sei se gosto mais de mim ou de você

vem, que a sede de te amar me faz melhor
eu quero amanhecer ao seu redor
preciso tanto me fazer feliz

vem, que o tempo pode afastar nós dois
não deixe tanta vida pra depois
eu só preciso saber
como vai você?",Como Vai Você
Elza Soares,"disparo contra o sol
sou forte, sou por acaso
minha metralhadora cheia de mágoas
eu sou um cara
cansado de correr
na direção contrária
sem pódio de chegada ou beijo de namorada
eu sou mais um cara

mas se você achar
que eu tô derrotado
saiba que ainda estão rolando os dados
porque o tempo, o tempo não para

dias sim, dias não
eu vou sobrevivendo sem um arranhão
da caridade de quem me detesta

a tua piscina tá cheia de ratos
tuas ideias não correspondem aos fatos
o tempo não para

eu vejo o futuro repetir o passado
eu vejo um museu de grandes novidades
o tempo não para
não para, não, não para

eu não tenho data pra comemorar
às vezes os meus dias são de par em par
procurando agulha num palheiro

nas noites de frio é melhor nem nascer
nas de calor, se escolhe: é matar ou morrer
e assim nos tornamos brasileiros
te chamam de ladrão, de bicha, maconheiro
transformam o país inteiro num puteiro
pois assim se ganha mais dinheiro

a tua piscina tá cheia de ratos
tuas ideias não correspondem aos fatos
o tempo não para

eu vejo o futuro repetir o passado
eu vejo um museu de grandes novidades
o tempo não para
não para, não, não para

dias sim, dias não
eu vou sobrevivendo sem um arranhão
da caridade de quem me detesta

a tua piscina tá cheia de ratos
tuas ideias não correspondem aos fatos
o tempo não para

eu vejo o futuro repetir o passado
eu vejo um museu de grandes novidades
o tempo não para
não para, não, não para",O Tempo Não Para
Maria Bethânia,"quando você me deixou, meu bem
me disse pra ser feliz e passar bem
quis morrer de ciúme, quase enlouqueci
mas depois, como era de costume, obedeci

quando você me quiser rever
já vai me encontrar refeita, pode crer
olhos nos olhos, quero ver o que você faz
ao sentir que sem você eu passo bem demais

e que venho até remoçando
me pego cantando
sem mas nem por que
e tantas águas rolaram
tantos homens me amaram
bem mais e melhor que você

quando talvez precisar de mim
'cê sabe que a casa é sempre sua, venha sim
olhos nos olhos, quero ver o que você diz
quero ver como suporta me ver tão feliz",Olhos Nos Olhos
Toquinho,"o homem que diz ""dou"" não dá, porque quem dá mesmo não diz
o homem que diz ""vou"" não vai, porque quando foi já não quis
o homem que diz ""sou"" não é, porque quem é mesmo é ""não sou""
o homem que diz ""tô"" não tá, porque ninguém tá quando quer
coitado do homem que cai no canto de ossanha, traidor
coitado do homem que vai atrás de mandinga de amor
vai, vai, vai, vai, não vou
vai, vai, vai, vai, não vou
vai, vai, vai, vai, não vou
vai, vai, vai, vai, não vou
que eu não sou ninguém de ir em conversa de esquecer
a tristeza de um amor que passou
não, eu só vou se for pra ver uma estrela aparecer
na manhã de um novo amor
amigo senhor, saravá, xangô me mandou lhe dizer
se é canto de ossanha, não vá, que muito vai se arrepender
pergunte ao seu orixá, o amor só é bom se doer
pergunte ao seu orixá, o amor só é bom se doer
vai, vai, vai, vai, amar
vai, vai, vai, sofrer
vai, vai, vai, vai, chorar
vai, vai, vai, dizer
que eu não sou ninguém de ir em conversa de esquecer
a tristeza de um amor que passou
não, eu só vou se for pra ver uma estrela aparecer
na manhã de um novo amor",Canto de Ossanha
Zé Ramalho,"há um brilho de faca
onde o amor vier
e ninguém tem o mapa
da alma da mulher
ninguém sai com o coração sem sangrar
ao tentar revê-la
um ser maravilhoso
entre a serpente e a estrela

um grande amor do passado
se transforma em aversão
e os dois lado a lado
corroem o coração
não existe saudade mais cortante
que a de um grande amor ausente
dura feito diamante
corta a ilusão da gente

toco a vida pra frente
fingindo não sofrer
mas o peito dormente
espera o bem-querer
e sei que não será surpresa
se o futuro me trouxer
o passado de volta
num semblante de mulher
o passado de volta
num semblante de mulher",Entre a Serpente e a Estrela - Ao Vivo
Lô Borges,"da janela lateral do quarto de dormir
vejo uma igreja, um sinal de glória
vejo um muro branco e um vôo pássaro
vejo uma grade e um velho sinal
mensageiro natural, de coisas naturais
quando eu falava dessas cores mórbidas
quando eu falava desses homens sórdidos
quando eu falava desse temporal 
você não escutou
você não quer acreditar, mas isso é tão normal
você não quer acreditar, e eu apenas era
cavaleiro marginal lavado em ribeirão
cavaleiro negro que viveu mistérios
cavaleiro e senhor de casa e árvores
sem querer descanso nem dominical
cavaleiro marginal banhado em ribeirão
conheci as torres e os cemitérios
conheci os homens e os seus velórios
quando olhava da janela lateral
do quarto de dormir
você não quer acreditar, mas isso é tão normal
você não quer acreditar, mas isso é tão normal
um cavaleiro marginal banhado em ribeirão
você não quer acreditar que eu apenas era... (1ª vez)",Paisagem da Janela - Ao Vivo
Chico Buarque,"amou daquela vez como se fosse a última
beijou sua mulher como se fosse a última
e cada filho seu como se fosse o único
e atravessou a rua com seu passo tímido
subiu a construção como se fosse máquina
ergueu no patamar quatro paredes sólidas
tijolo com tijolo num desenho mágico
seus olhos embotados de cimento e lágrima
sentou pra descansar como se fosse sábado
comeu feijão com arroz como se fosse um príncipe
bebeu e soluçou como se fosse um náufrago
dançou e gargalhou como se ouvisse música
e tropeçou no céu como se fosse um bêbado
e flutuou no ar como se fosse um pássaro
e se acabou no chão feito um pacote flácido
agonizou no meio do passeio público
morreu na contramão atrapalhando o tráfego

amou daquela vez como se fosse o último
beijou sua mulher como se fosse a única
e cada filho como se fosse o pródigo
e atravessou a rua com seu passo bêbado
subiu a construção como se fosse sólido
ergueu no patamar quatro paredes mágicas
tijolo com tijolo num desenho lógico
seus olhos embotados de cimento e tráfego
sentou pra descansar como se fosse um príncipe
comeu feijão com arroz como se fosse o máximo
bebeu e soluçou como se fosse máquina
dançou e gargalhou como se fosse o próximo
e tropeçou no céu como se ouvisse música
e flutuou no ar como se fosse sábado
e se acabou no chão feito um pacote tímido
agonizou no meio do passeio náufrago
morreu na contramão atrapalhando o público

amou daquela vez como se fosse máquina
beijou sua mulher como se fosse lógico
ergueu no patamar quatro paredes flácidas
sentou pra descansar como se fosse um pássaro
e flutuou no ar como se fosse um príncipe
e se acabou no chão feito um pacote bêbado
morreu na contra-mão atrapalhando o sábado

por esse pão pra comer, por esse chão prá dormir 
a certidão pra nascer e a concessão pra sorrir 
por me deixar respirar, por me deixar existir, 
deus lhe pague 
pela cachaça de graça que a gente tem que engolir 
pela fumaça e a desgraça, que a gente tem que tossir 
pelos andaimes pingentes que a gente tem que cair, 
deus lhe pague pela mulher carpideira pra nos louvar e cuspir 
e pelas moscas bicheiras a nos beijar e cobrir 
e pela paz derradeira que enfim vai nos redimir, 
deus lhe pague



1971 © by cara nova editora musical ltda.",Construção
Teresa Cristina,"linda
te sinto mais bela
te fico na espera
me sinto tão só
mas o tempo que passa
em dor maior, bem maior
linda
no que se apresenta
o triste se ausenta
fez-se a alegria
corra e olhe o céu
que o sol vem trazer
bom dia
ai, corra e olhe o céu
que o sol vem trazer
bom dia",Corra e Olhe o Céu - Ao Vivo
Gal Costa,"dueto com luís melodia

tente passar pelo que estou passando
tente apagar este teu novo engano
tente me amar pois estou te amando
baby te amo, nem sei se te amo

tente usar a roupa que estou usando
tente esquecer em que ano estamos
arranje algum sangue escreva num pano
pérola negra, te amo, te amo

rasgue a camisa enxugue meu pranto
como prova de amor mostre teu novo canto
escreva num quadro em palavras gigantes
pérola negra, te amo, te amo

tente entender tudo mais sobre o sexo
peça meu livro querendo te empresto
se inteira da coisa sem haver engano
baby te amo, nem sei se te amo",Pérola Negra - Ao Vivo
Tribalistas,"se um dia eu te encontrar
do jeito que sonhei
quem sabe ser seu par perfeito
e te amar
do jeito que eu imaginei

ao virar a esquina
atrás de uma cortina me perder
no escuro com você

fogo na fogueira
seu beijo e o desejo em seu olhar
as flores no altar

véu e grinalda
lua de mel
chuva de arroz
e tudo depois

dama de honra
pega o buquê
ninguém mais feliz
que eu e você

se um dia eu te encontrar
do jeito que sonhei
quem sabe ser seu par perfeito
e te amar
do jeito que eu imaginei

ao virar a esquina
atrás de uma cortina me perder
no escuro com você

fogo na fogueira
seu beijo e o desejo em seu olhar
as flores no altar

véu e grinalda
lua de mel
chuva de arroz
e tudo depois

dama de honra
pega o buquê
ninguém mais feliz
que eu e você

ninguém mais feliz
que eu e você

se um dia eu te encontrar
do jeito que sonhei
quem sabe ser seu par perfeito
e te amar
do jeito que eu imaginei",Aliança
Cartola,"deixe-me ir, preciso andar
vou por aí a procurar
sorrir pra não chorar

quero assistir ao sol nascer
ver as águas dos rios correr
ouvir os pássaros cantar
eu quero nascer e quero viver

deixe-me ir, preciso andar
vou por aí a procurar
sorrir pra não chorar

se alguém por mim perguntar
diga que eu só vou voltar
depois que eu me encontrar

quero assistir ao sol nascer
ver as águas dos rios correr
ouvir os pássaros cantar
eu quero nascer e quero viver

deixe-me ir, preciso andar
vou por aí a procurar
sorrir pra não chorar",Preciso Me Encontrar
Antônio Carlos Jobim,"é pau, é pedra, é o fim do caminho
é um resto de toco, é um pouco sozinho
é um caco de vidro, é a vida, é o sol
é a noite, é a morte, é um laço, é o anzol

é peroba do campo, é o nó da madeira
caingá, candeia, é o matita pereira
é madeira de vento, tombo da ribanceira
é o mistério profundo, é o queira ou não queira

é o vento ventando, é o fim da ladeira
é a viga, é o vão, festa da cumeeira
é a chuva chovendo, é conversa ribeira
das águas de março, é o fim da canseira

é o pé, é o chão, é a marcha estradeira
passarinho na mão, pedra de atiradeira
é uma ave no céu, é uma ave no chão
é um regato, é uma fonte, é um pedaço de pão

é o fundo do poço, é o fim do caminho
no rosto o desgosto, é um pouco sozinho
é um estrepe, é um prego, é uma ponta, é um ponto
é um pingo pingando, é uma conta é um conto

é um peixe, é um gesto, é uma prata brilhando
é a luz da manhã, é o tijolo chegando
é a lenha, é o dia, é o fim da picada
é a garrafa de cana, o estilhaço na estrada

é o projeto da casa, é o corpo na cama
é o carro enguiçado, é a lama, é a lama
é um passo, é uma ponte, é um sapo, é uma rã
é um resto de mato, na luz da manhã

são as águas de março fechando o verão
é a promessa de vida no teu coração

é uma cobra, é um pau, é joão, é josé
é um espinho na mão, é um corte no pé

são as águas de março fechando o verão
é a promessa de vida no teu coração

é pau, é pedra, é o fim do caminho
é um resto de toco, é um pouco sozinho
é um passo, é uma ponte, é um sapo, é uma rã
é um belo horizonte, é uma febre terçã

são as águas de março fechando o verão
é a promessa de vida no teu coração

pau, -edra, -fim, -inho,
-esto, -oco, -ouco, -inho,
-aco, -idro, -ida, -ol,
-oite, -orte, -aço, -azol

são as águas de março fechando o verão
é a promessa de vida no teu coração",Águas De Março
Zeca Baleiro,"eu não sei dizer
o que quer dizer
o que vou dizer
eu amo você
mas não sei o que
isso quer dizer
eu não sei por que
eu teimo em dizer
que amo você
se eu não sei dizer
o que quer dizer
o que vou dizer
se eu digo pare
você não repare
no que possa parecer
se eu digo siga
o que quer que eu diga
você não vai entender
mas se eu digo venha
você traz a lenha
pro meu fogo acender",Lenha
Alceu Valença,"na bruma leve das paixões que vêm de dentro
tu vens chegando pra brincar no meu quintal
no teu cavalo peito nu cabelo ao vento
e o sol quarando nossas roupas no varal
tu vens, tu vens
eu já escuto os teus sinais
a voz de um anjo sussurrou no meu ouvido
e eu não duvido já escuto os teus sinais
que tu virias numa manhã de domingo
eu te anuncio nos sinos das catedrais",Anunciação - Ao Vivo
Djavan,"eu não digo que não
ela é bela e fera
mas não pondera
e me deixa ""doindin""

quando eu penso que sim
ela dá de ombro
e eu me escombro ""sozin""

se com ela há muito mais luar
porque viver dias sombrios?
eu não posso me distanciar
e me perder dos seus carinhos
você é demais... muito mais pra mim

não é um bolero
é amor sincero, que a tudo resiste
não a ter do lado, me deixa abalado
e nada é mais triste
a vida é atoa, não fica de boa
quem não tem um querer
eu tenho de tudo mas me falta tudo
se eu não tenho você",Não é um Bolero
